"","Ka","Ku","SicRG","It","Sp","Fr","Ptg","Rm","Grk","CyG","E","D","Da","Ice","Nor","Blg","SC","Slo","Po","Rus","Ir","Wel","Ma","Hi","Far","Pas","Man","Can","Inu","Jap","Ar","Heb","Hu","Est","Fin","Tur","Bur","cB","wB","Wo"
"Jap",0.625,0.481481481481482,0.304347826086957,0.304347826086957,0.25,0.304347826086957,0.304347826086957,0.208333333333333,0.375,0.375,0.36,0.375,0.32,0.291666666666667,0.32,0.24,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.304347826086957,0.304347826086957,0.259259259259259,0.259259259259259,0.36,0.222222222222222,0.333333333333333,0.333333333333333,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0
"Ar",0.4,0.368421052631579,0.272727272727273,0.272727272727273,0.266666666666667,0.30952380952381,0.295454545454545,0.234042553191489,0.239130434782609,0.239130434782609,0.30952380952381,0.30952380952381,0.272727272727273,0.25,0.272727272727273,0.239130434782609,0.210526315789474,0.210526315789474,0.210526315789474,0.210526315789474,0.261904761904762,0.285714285714286,0.277777777777778,0.277777777777778,0.388888888888889,0.351351351351351,0.521739130434783,0.521739130434783,0.32258064516129,0.347826086956522,0,0,0,0,0,0,0,0,0,0
"Heb",0.3,0.416666666666667,0.261904761904762,0.261904761904762,0.279069767441861,0.3,0.285714285714286,0.244444444444444,0.295454545454545,0.295454545454545,0.25,0.25,0.214285714285714,0.19047619047619,0.214285714285714,0.204545454545455,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.214285714285714,0.238095238095238,0.323529411764706,0.323529411764706,0.382352941176471,0.342857142857143,0.571428571428571,0.571428571428571,0.310344827586207,0.476190476190476,0.127659574468085,0,0,0,0,0,0,0,0,0
"Hu",0.289473684210526,0.333333333333333,0.225,0.214285714285714,0.261904761904762,0.238095238095238,0.238095238095238,0.285714285714286,0.255813953488372,0.232558139534884,0.232558139534884,0.238095238095238,0.232558139534884,0.238095238095238,0.232558139534884,0.232558139534884,0.236842105263158,0.263157894736842,0.263157894736842,0.263157894736842,0.297297297297297,0.27027027027027,0.2,0.2,0.222222222222222,0.189189189189189,0.24,0.24,0.228571428571429,0.380952380952381,0.358974358974359,0.351351351351351,0,0,0,0,0,0,0,0
"Est",0.272727272727273,0.289473684210526,0.243243243243243,0.230769230769231,0.256410256410256,0.236842105263158,0.230769230769231,0.230769230769231,0.285714285714286,0.261904761904762,0.214285714285714,0.219512195121951,0.170731707317073,0.170731707317073,0.170731707317073,0.219512195121951,0.19047619047619,0.214285714285714,0.214285714285714,0.214285714285714,0.257142857142857,0.228571428571429,0.175,0.175,0.194444444444444,0.170731707317073,0.259259259259259,0.259259259259259,0.225806451612903,0.304347826086957,0.333333333333333,0.323529411764706,0.105263157894737,0,0,0,0,0,0,0
"Fin",0.277777777777778,0.289473684210526,0.25,0.236842105263158,0.263157894736842,0.243243243243243,0.236842105263158,0.282051282051282,0.275,0.25,0.219512195121951,0.2,0.2,0.175,0.2,0.225,0.170731707317073,0.195121951219512,0.195121951219512,0.195121951219512,0.264705882352941,0.235294117647059,0.210526315789474,0.210526315789474,0.205882352941177,0.205128205128205,0.32,0.32,0.205882352941177,0.363636363636364,0.305555555555556,0.294117647058823,0.0952380952380952,0.024390243902439,0,0,0,0,0,0
"Tur",0.342105263157895,0.305555555555556,0.333333333333333,0.323529411764706,0.352941176470588,0.352941176470588,0.323529411764706,0.371428571428571,0.342857142857143,0.342857142857143,0.222222222222222,0.228571428571429,0.277777777777778,0.257142857142857,0.277777777777778,0.277777777777778,0.25,0.25,0.25,0.25,0.32258064516129,0.290322580645161,0.214285714285714,0.214285714285714,0.166666666666667,0.157894736842105,0.230769230769231,0.230769230769231,0.189189189189189,0.363636363636364,0.424242424242424,0.354838709677419,0.0952380952380952,0.162162162162162,0.125,0,0,0,0,0
"Bur",0.393939393939394,0.351351351351351,0.371428571428571,0.361111111111111,0.388888888888889,0.388888888888889,0.361111111111111,0.361111111111111,0.333333333333333,0.333333333333333,0.230769230769231,0.289473684210526,0.289473684210526,0.289473684210526,0.289473684210526,0.315789473684211,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.333333333333333,0.303030303030303,0.255813953488372,0.255813953488372,0.189189189189189,0.170731707317073,0.241379310344828,0.241379310344828,0.205882352941177,0.375,0.470588235294118,0.40625,0.184210526315789,0.146341463414634,0.184210526315789,0.075,0,0,0,0
"cB",0.4,0.314285714285714,0.228571428571429,0.222222222222222,0.222222222222222,0.222222222222222,0.194444444444444,0.228571428571429,0.378378378378378,0.351351351351351,0.228571428571429,0.257142857142857,0.2,0.228571428571429,0.2,0.257142857142857,0.242424242424242,0.272727272727273,0.272727272727273,0.272727272727273,0.3125,0.3125,0.205882352941177,0.205882352941177,0.28125,0.176470588235294,0.230769230769231,0.230769230769231,0.259259259259259,0.2,0.323529411764706,0.3125,0.242424242424242,0.125,0.166666666666667,0.206896551724138,0.21875,0,0,0
"wB",0.36,0.371428571428571,0.228571428571429,0.222222222222222,0.222222222222222,0.222222222222222,0.194444444444444,0.228571428571429,0.378378378378378,0.351351351351351,0.228571428571429,0.257142857142857,0.2,0.228571428571429,0.2,0.257142857142857,0.242424242424242,0.272727272727273,0.272727272727273,0.272727272727273,0.28125,0.28125,0.205882352941177,0.205882352941177,0.34375,0.176470588235294,0.269230769230769,0.269230769230769,0.333333333333333,0.24,0.323529411764706,0.28125,0.303030303030303,0.1875,0.233333333333333,0.275862068965517,0.28125,0.0512820512820513,0,0
"Wo",0.478260869565217,0.571428571428571,0.303030303030303,0.303030303030303,0.363636363636364,0.333333333333333,0.333333333333333,0.333333333333333,0.235294117647059,0.235294117647059,0.294117647058823,0.294117647058823,0.303030303030303,0.257142857142857,0.303030303030303,0.363636363636364,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.34375,0.34375,0.258064516129032,0.258064516129032,0.28125,0.357142857142857,0.304347826086957,0.304347826086957,0.4,0.391304347826087,0.375,0.433333333333333,0.34375,0.37037037037037,0.384615384615385,0.384615384615385,0.392857142857143,0.333333333333333,0.333333333333333,0
