,Ka,Ku,SicRG,Mus,Aid,Scal,Sal,Ncal,Cam,It,Sp,Fr,Ptg,Rm,Lat,ClG,NTG,Gri,BoG,Grk,RPG,CyG,Got,OE,E,D,Da,Ice,Nor,Blg,SC,Slo,Po,Rus,Ir,Wel,Ma,Hi,Far,Pas,Man,Can,Inu,Jap,Ar,Heb,Hu,Est,Fin,Tur,Bur,cB,wB,Wo,Qui,ChK,Mal
NSD,0,0,+,+,+,+,+,+,+,+,+,+,+,+,0,+,+,+,+,+,+,+,0,-,-,-,-,-,-,+,0,0,0,0,-,-,0,0,0,0,0,0,0,0,+,+,+,0,0,0,0,+,+,-,0,0,+
DPQ,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,0,0,0,0,-,-,0,+,+,0,0,0,0,0,0,0,0
DCN,0,0,-,-,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,-,+,-,0,-,-,-,+,+,+,+,0,0,0,0,-,-,0,0,0,0,0,0,0,0,+,+,-,0,0,0,0,-,-,-,0,0,-
DOR,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0,0,0,+,-,-,0,0,0,0,0,0,+,0,0,-
DIN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,+,-,-,-,-,-,-,0,0,0,-,0,0
CPS,+,0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,0,0,+,0,+,+,-,-,-,-,-,0,0,0,-,0,0
NPA,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,0,-,0,0,0,+,0,0,+,-,0,0,+,+,0,0
BAT,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,-,0,0
FGC,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-
GBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
IBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,+,0,0,0,0,0,0,0,-,0,0,-,0,0,0,-,-,0,0
DNN,0,0,-,-,-,-,-,-,-,-,+,-,+,0,0,+,+,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,+,+,0,0,0,-
